"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"PRKCE.1" 0 0.492565128323004 0.737 0.715 0 "1" "PRKCE"
"ADARB1" 0 0.486022766782557 0.815 0.762 0 "1" "ADARB1"
"FMNL2.1" 0 0.483658745221835 0.948 0.902 0 "1" "FMNL2"
"IFI44L.1" 0 0.480865767916986 0.818 0.799 0 "1" "IFI44L"
"DSCAM" 0 0.478402621825805 0.923 0.841 0 "1" "DSCAM"
"RASGRP3" 0 0.471551950984723 0.629 0.557 0 "1" "RASGRP3"
"ELL2" 0 0.470730563876938 0.838 0.786 0 "1" "ELL2"
"RASGEF1B.1" 0 0.467307103323185 0.708 0.647 0 "1" "RASGEF1B"
"CDK14.1" 0 0.456312625230948 0.825 0.808 0 "1" "CDK14"
"ACSL1.1" 0 0.456165927890519 0.635 0.494 0 "1" "ACSL1"
"MSR1.1" 0 0.452420338322179 0.764 0.717 0 "1" "MSR1"
"AL158071.4" 0 0.441520544683192 0.838 0.842 0 "1" "AL158071.4"
"ABCC3.1" 0 0.431619170101048 0.814 0.838 0 "1" "ABCC3"
"MGLL.1" 0 0.426836223805789 0.815 0.753 0 "1" "MGLL"
"CD9.1" 0 0.423921346170822 0.813 0.793 0 "1" "CD9"
"LITAF.1" 0 0.421279719504791 0.751 0.723 0 "1" "LITAF"
"LINC02698" 0 0.410766061631596 0.755 0.79 0 "1" "LINC02698"
"PDE7B.1" 0 0.401015224034093 0.803 0.743 0 "1" "PDE7B"
"ATG7.1" 0 0.369257158737282 0.947 0.927 0 "1" "ATG7"
"SGK1" 0 0.360273407857416 0.794 0.744 0 "1" "SGK1"
"FLT1" 0 0.354484871663148 0.729 0.697 0 "1" "FLT1"
"TMEM144" 0 0.352211693387288 0.733 0.712 0 "1" "TMEM144"
"SRGN.1" 0 0.352178704355728 0.857 0.864 0 "1" "SRGN"
"FAM110B" 0 0.350233536850253 0.573 0.508 0 "1" "FAM110B"
"PDE4B.1" 0 0.344585915730455 0.718 0.668 0 "1" "PDE4B"
"TGFBR1" 0 0.341689165287131 0.87 0.84 0 "1" "TGFBR1"
"CCL3" 0 0.337360478605059 0.851 0.886 0 "1" "CCL3"
"TRAF3" 0 0.336625593843464 0.751 0.672 0 "1" "TRAF3"
"PDPN" 0 0.333786678925793 0.677 0.64 0 "1" "PDPN"
"FNIP2" 0 0.328943139150751 0.688 0.619 0 "1" "FNIP2"
"TANC2" 0 0.322403856579084 0.879 0.851 0 "1" "TANC2"
"KLF6" 0 0.319277100421721 0.591 0.505 0 "1" "KLF6"
"SOCS6" 0 0.310842674836299 0.906 0.891 0 "1" "SOCS6"
"HIVEP1" 0 0.310173565071205 0.715 0.681 0 "1" "HIVEP1"
"LPL" 0 0.305627406849003 0.67 0.675 0 "1" "LPL"
"ESR1" 0 0.299000842379608 0.828 0.83 0 "1" "ESR1"
"SAMSN1" 0 0.294377970909875 0.819 0.755 0 "1" "SAMSN1"
"CPA6" 0 0.292800352069597 0.753 0.718 0 "1" "CPA6"
"PPM1H" 0 0.292635585826686 0.851 0.86 0 "1" "PPM1H"
"CLEC5A" 0 0.292165864345801 0.727 0.739 0 "1" "CLEC5A"
"LIPA" 0 0.290102121114095 0.725 0.705 0 "1" "LIPA"
"CHSY3" 0 0.28875575835716 0.829 0.813 0 "1" "CHSY3"
"PDE3B" 0 0.286203948144375 0.797 0.714 0 "1" "PDE3B"
"TNFAIP8L3" 0 0.283803935033814 0.77 0.711 0 "1" "TNFAIP8L3"
"SLC1A3" 0 0.278738119520912 0.961 0.91 0 "1" "SLC1A3"
"FRMD4B.1" 0 0.271664399464357 0.944 0.924 0 "1" "FRMD4B"
"NEDD9" 0 0.261065607327191 0.733 0.693 0 "1" "NEDD9"
"PLAUR" 0 0.2602572972589 0.666 0.636 0 "1" "PLAUR"
"CCL4" 0 0.255403444416466 0.809 0.819 0 "1" "CCL4"
"NCK2" 0 0.253512138293229 0.791 0.693 0 "1" "NCK2"
"MPPED2.1" 0 -0.250673125689158 0.666 0.746 0 "1" "MPPED2"
"LINC00996" 0 -0.268577154360266 0.693 0.716 0 "1" "LINC00996"
"KIRREL3" 0 -0.279505306289584 0.607 0.671 0 "1" "KIRREL3"
"SELENOP.1" 0 -0.283765089439591 0.568 0.456 0 "1" "SELENOP"
"CTNNA3" 0 -0.289144870910656 0.64 0.728 0 "1" "CTNNA3"
"NAV3.1" 0 -0.360399774042389 0.868 0.863 0 "1" "NAV3"
"TMEM163" 0 -0.396134274437567 0.495 0.587 0 "1" "TMEM163"
"ST6GALNAC3.1" 0 -0.518328853730973 0.859 0.878 0 "1" "ST6GALNAC3"
"IGSF21.1" 0 -0.523854697629529 0.635 0.681 0 "1" "IGSF21"
"FGF13.1" 0 -0.54015821065564 0.667 0.625 0 "1" "FGF13"
"PRDM11.1" 0 -0.54101054748615 0.669 0.692 0 "1" "PRDM11"
